student_id,attendance,avg_grade,Dropout
1,0.8363492119112732,6.5274055579030525,Dropout
2,0.8150196079683469,5.07,No dropout
3,0.8130521543755309,5.797785092849433,No dropout
4,0.7714552683391528,7.93,No dropout
5,0.8083775337014727,6.566896163209557,Dropout
6,0.7842850528491049,5.745261199473835,No dropout
7,0.853514837161561,6.291796882517248,Dropout
8,0.9195,5.315781294590683,No dropout
9,0.9195,7.184941132871896,No dropout
10,0.8750874404830117,6.527092490540407,No dropout
11,0.7105,6.709413505003101,No dropout
12,0.8277430025849746,5.07,Dropout
13,0.9046557800129488,5.07,No dropout
14,0.9195,6.542113585084704,No dropout
15,0.7742227263183408,7.1155927937298,No dropout
16,0.908159810043633,5.798684228481161,No dropout
17,0.9080785695003271,6.0672126629462,No dropout
18,0.7105,7.93,No dropout
19,0.7554479129423061,5.6283460906557385,Dropout
20,0.8577707176802448,7.115718724696372,No dropout
21,0.8979254745732469,5.9789529028593265,No dropout
22,0.850784746335421,7.666044967885783,Dropout
23,0.9014197872114851,5.07,No dropout
24,0.9195,6.577126445620213,Dropout
25,0.9052921459371421,7.273026449514184,No dropout
26,0.8060765419365111,6.217079156007437,No dropout
27,0.8051717666585777,7.93,No dropout
28,0.9195,6.58170027154726,Dropout
29,0.9195,6.294440519485371,No dropout
30,0.7659132186491384,7.48184095521922,No dropout
31,0.8063684797834124,5.640710580723557,No dropout
32,0.9092657276906109,5.07,Dropout
33,0.9080238756428124,5.07,No dropout
34,0.8071101869627738,5.1484419735566895,Dropout
35,0.7903833205395462,7.286927429889413,No dropout
36,0.874010633321956,7.93,Dropout
37,0.85164763517462,6.979150737683141,Dropout
38,0.9195,5.419344617860723,No dropout
39,0.7105,6.579995920903705,Dropout
40,0.9126958737063611,6.125200606691615,No dropout
41,0.8693942403225784,7.0439438971402275,No dropout
42,0.819595674486654,5.07,No dropout
43,0.7395737074138308,6.989561719213506,No dropout
44,0.878893113211898,7.202914193043172,Dropout
45,0.7661304078463973,6.255206491099871,No dropout
46,0.7895651379753466,7.009314977145791,No dropout
47,0.8254610486786167,5.373480704271859,No dropout
48,0.9195,5.395451878852732,Dropout
49,0.8913255640706977,7.48845264821731,No dropout
50,0.9195,6.638247933306154,Dropout
51,0.8012329898875711,5.69875468348079,No dropout
52,0.875465218999641,6.966156923861465,Dropout
53,0.7528197388776858,6.863060630096623,No dropout
54,0.8024324809071571,6.806043838995444,No dropout
55,0.7492711181683693,6.649627793822548,No dropout
56,0.7105,5.258612702625427,Dropout
57,0.9195,6.755236096175154,No dropout
58,0.8650196138424247,6.545205934819695,Dropout
59,0.8239940993556686,5.07,Dropout
60,0.8192954806115454,5.510282708964556,No dropout
61,0.7105,5.07,Dropout
62,0.8915839705452783,7.365773924174466,No dropout
63,0.8121734307636868,6.073000657300366,No dropout
64,0.7932371226750465,7.6498543917660875,No dropout
65,0.8507071345390236,6.468776954273083,No dropout
66,0.9062898190151768,6.511395395644863,Dropout
67,0.7826943559048075,5.368948832196557,Dropout
68,0.9195,5.757775124728257,No dropout
69,0.8673022909018697,6.696403795172902,No dropout
70,0.718325663203208,7.02296954320935,No dropout
71,0.8625750276884485,6.4676109408423015,No dropout
72,0.9195,5.07,No dropout
73,0.7937955452907248,6.09667388296049,No dropout
74,0.8736173086545024,5.07,Dropout
75,0.7847031234857135,7.93,No dropout
76,0.7105,5.97310510568092,No dropout
77,0.7105,5.07,No dropout
78,0.7105,5.781630541423849,No dropout
79,0.866490413050442,5.727303951668764,No dropout
80,0.8932089030968564,6.277928457548617,Dropout
81,0.8783194882498395,6.181430457055802,No dropout
82,0.8408178706045162,6.2549631947609745,Dropout
83,0.8436091944991188,7.93,No dropout
84,0.7874239867726492,5.209284771158106,No dropout
85,0.8627365609858372,6.258375658450995,Dropout
86,0.8068203742745792,6.7215366464110335,Dropout
87,0.9195,6.412763078407102,No dropout
88,0.9195,7.93,Dropout
89,0.7805268194700163,6.986946555476861,Dropout
90,0.8145446374280112,5.824585342191593,No dropout
91,0.9195,5.713430223330455,Dropout
92,0.7650475948437261,5.07,Dropout
93,0.7105,6.727462794012959,No dropout
94,0.8777311044020302,6.915596966444667,No dropout
95,0.7105,6.8144487319686675,Dropout
96,0.8173278195215752,6.053386880482585,Dropout
97,0.8913419275883481,6.607934504805346,Dropout
98,0.8370778750969124,6.34872647291447,No dropout
99,0.841736119459752,6.494679565594325,No dropout
100,0.7349870706455497,6.742637255434084,No dropout
101,0.8193435644323555,6.894504192373468,No dropout
102,0.7468756246334962,6.96237000009073,Dropout
103,0.8780424074648656,6.185348608219932,Dropout
104,0.9150302824195374,5.5734601070790015,No dropout
105,0.9139041791567382,7.593089072511743,Dropout
106,0.8826852172502345,5.964422583547965,No dropout
107,0.7656234544429958,7.93,No dropout
108,0.769756697124479,5.729745947787802,No dropout
109,0.7869004529760305,7.075055234522788,No dropout
110,0.8810892854742924,6.265057612125651,No dropout
111,0.8460766844902881,6.113238670072227,Dropout
112,0.7105,7.93,Dropout
113,0.8155694707157692,5.163799193067894,Dropout
114,0.9195,7.248916375761927,No dropout
115,0.9195,7.671785995916051,No dropout
116,0.7253545644779289,6.148465977254775,Dropout
117,0.8479582847979841,6.181813310060094,No dropout
118,0.7757178521104611,7.912640593181837,No dropout
119,0.8153343362097742,7.253211991298626,No dropout
120,0.8629280411344333,5.07,No dropout
121,0.8350814231966872,6.7059261509136885,No dropout
122,0.8775182686688895,7.918667409164143,Dropout
123,0.7473634039455145,5.617346693477694,Dropout
124,0.8224039830414603,7.352962202668341,Dropout
125,0.8993040077175889,5.469900397740858,No dropout
126,0.9195,6.253913671139968,No dropout
127,0.7639114865867731,5.9500508042724665,No dropout
128,0.8461335439926962,5.500669773369741,Dropout
129,0.7698257321784419,5.935597524094085,Dropout
130,0.8915818831807325,5.07,Dropout
131,0.9180317037853851,6.9533515122614675,No dropout
132,0.8423788619556568,7.183572592339973,No dropout
133,0.9195,6.32362263162172,Dropout
134,0.8482011235304238,5.07,No dropout
135,0.811974983843956,6.3659865533427835,Dropout
136,0.8067725562552113,5.204496046237272,No dropout
137,0.7625635315504868,5.42148239183139,Dropout
138,0.8903554428813178,5.2427265620320185,Dropout
139,0.7899825273195865,5.642195512787926,No dropout
140,0.8800738089915584,7.93,No dropout
141,0.7105,6.756276113972776,Dropout
142,0.8054936665492285,5.199287673891362,No dropout
143,0.8451569071538293,5.07,No dropout
144,0.7713884717631575,6.696983791266355,Dropout
145,0.7105,6.4034389572353065,Dropout
146,0.7105,5.07,No dropout
147,0.9195,6.679483258539909,No dropout
148,0.7105,7.1390982288312586,Dropout
149,0.9195,7.93,No dropout
150,0.9195,6.63017304926125,Dropout
151,0.9195,7.347333174687516,No dropout
152,0.7538193840800367,6.356148475521976,No dropout
153,0.9195,5.4891154465199765,No dropout
154,0.721259668159297,6.215984013652915,No dropout
155,0.9195,6.155896863952698,No dropout
156,0.9195,7.93,No dropout
157,0.9195,6.647232052159454,No dropout
158,0.7970534483576335,7.013235122907799,No dropout
